match_id,participantId,itemId,time_stamp
KR_5183897731,5,2055,1262489
KR_5183897731,8,3165,1263116
KR_5183897731,4,1038,1273585
KR_5183897731,4,1038,1276326
KR_5183897731,5,1004,1276854
KR_5183897731,1,3108,1283723
KR_5183897731,1,3135,1285474
KR_5183897731,1,2055,1286564
KR_5183897731,2,1038,1309056
KR_5183897731,2,2420,1310013
KR_5183897731,10,2055,1311962
KR_5183897731,9,3031,1339309
KR_5183897731,9,2055,1339771
KR_5183897731,8,1052,1411289
KR_5183897731,8,2139,1413502
KR_5183897731,10,2055,1416177
KR_5183897731,6,1028,1418092
KR_5183897731,7,1052,1423046
KR_5183897731,9,2420,1427371
KR_5183897731,4,3031,1457954
KR_5183897731,2,3026,1458978
KR_5183897731,8,2055,1459638
KR_5183897731,4,1038,1462082
KR_5183897731,1,3108,1463403
KR_5183897731,1,1052,1463898
KR_5183897731,3,4630,1463997
KR_5183897731,10,3024,1465352
KR_5183897731,5,3114,1467367
KR_5183897731,5,2055,1467895
KR_5183897731,5,2055,1467994
KR_5183897731,9,1038,1469679
KR_5183897731,4,2420,1479191
KR_5183897731,4,2140,1479984
KR_5183897731,2,2055,1488902
KR_5183897731,1,2139,1498547
KR_5183897731,6,3053,1522924
KR_5183897731,6,3067,1526227
KR_5183897731,6,1029,1530157
KR_5183897731,7,3157,1543895
KR_5183897731,8,4630,1623930
KR_5183897731,8,2055,1624525
KR_5183897731,9,3072,1629214
KR_5183897731,3,3135,1635227
KR_5183897731,3,2055,1636052
KR_5183897731,10,2055,1655075
KR_5183897731,4,3026,1660658
KR_5183897731,2,3134,1661153
KR_5183897731,5,3107,1665545
KR_5183897731,9,1053,1666734
KR_5183897731,7,3108,1667460
KR_5183897731,6,3082,1677995
KR_5183897731,6,3364,1678821
KR_5183897731,3,2055,1712476
KR_5183897731,3,2139,1713104
KR_5183897731,7,1028,1776757
